"","everwrk","age_p","r_maritl"
"14668","2 No",82,"1 Married - spouse in household"
"14669","1 Yes",33,"1 Married - spouse in household"
"14670","1 Yes",75,"4 Widowed"
"14671","1 Yes",23,"7 Never married"
"14672","1 Yes",23,"7 Never married"
"14673","1 Yes",37,"1 Married - spouse in household"
"14674","1 Yes",63,"1 Married - spouse in household"
"14675","1 Yes",51,"1 Married - spouse in household"
"14676","2 No",27,"7 Never married"
"14677","1 Yes",70,"1 Married - spouse in household"
"14678","2 No",49,"1 Married - spouse in household"
"14679","1 Yes",25,"1 Married - spouse in household"
"14680","1 Yes",24,"7 Never married"
"14681","1 Yes",21,"7 Never married"
"14682","1 Yes",77,"1 Married - spouse in household"
"14683","2 No",47,"1 Married - spouse in household"
"14684","1 Yes",78,"4 Widowed"
"14685","1 Yes",41,"8 Living with partner"
"14686","1 Yes",65,"1 Married - spouse in household"
"14687","1 Yes",45,"7 Never married"
"14688","1 Yes",48,"8 Living with partner"
"14689","1 Yes",44,"1 Married - spouse in household"
"14690","1 Yes",49,"1 Married - spouse in household"
"14691","1 Yes",38,"1 Married - spouse in household"
"14692","1 Yes",70,"1 Married - spouse in household"
"14693","1 Yes",44,"6 Separated"
"14694","2 No",30,"1 Married - spouse in household"
"14695","1 Yes",41,"1 Married - spouse in household"
"14696","1 Yes",36,"1 Married - spouse in household"
"14697","1 Yes",36,"1 Married - spouse in household"
"14698","1 Yes",53,"1 Married - spouse in household"
"14699","1 Yes",36,"1 Married - spouse in household"
"14700","1 Yes",76,"1 Married - spouse in household"
"14701","1 Yes",19,"7 Never married"
"14702","1 Yes",65,"1 Married - spouse in household"
"14703","1 Yes",60,"4 Widowed"
"14704","1 Yes",32,"1 Married - spouse in household"
"14705","1 Yes",65,"1 Married - spouse in household"
"14706","1 Yes",55,"1 Married - spouse in household"
"14707","1 Yes",52,"1 Married - spouse in household"
"14708","1 Yes",48,"2 Married - spouse not in household"
"14709","1 Yes",47,"1 Married - spouse in household"
"14710","1 Yes",74,"1 Married - spouse in household"
"14711","1 Yes",52,"5 Divorced"
"14712","1 Yes",57,"4 Widowed"
"14713","1 Yes",36,"8 Living with partner"
"14714","1 Yes",33,"1 Married - spouse in household"
"14715","1 Yes",67,"1 Married - spouse in household"
"14716","1 Yes",54,"6 Separated"
"14717","1 Yes",55,"7 Never married"
"14718","1 Yes",70,"1 Married - spouse in household"
"14719","2 No",85,"4 Widowed"
"14720","1 Yes",23,"1 Married - spouse in household"
"14721","1 Yes",38,"7 Never married"
"14722","1 Yes",61,"5 Divorced"
"14723","1 Yes",26,"7 Never married"
"14724","2 No",42,"8 Living with partner"
"14725","1 Yes",33,"1 Married - spouse in household"
"14726","1 Yes",81,"4 Widowed"
"14727","1 Yes",36,"1 Married - spouse in household"
"14728","1 Yes",64,"6 Separated"
"14729","1 Yes",21,"7 Never married"
"14730","1 Yes",38,"1 Married - spouse in household"
"14731","1 Yes",54,"1 Married - spouse in household"
"14732","1 Yes",61,"4 Widowed"
"14733","1 Yes",68,"5 Divorced"
"14734","2 No",65,"4 Widowed"
"14735","1 Yes",26,"2 Married - spouse not in household"
"14736","2 No",76,"4 Widowed"
"14737","1 Yes",27,"8 Living with partner"
"14738","2 No",30,"7 Never married"
"14739","1 Yes",40,"8 Living with partner"
"14740","1 Yes",27,"1 Married - spouse in household"
"14741","1 Yes",62,"1 Married - spouse in household"
"14742","1 Yes",37,"7 Never married"
"14743","2 No",53,"1 Married - spouse in household"
"14744","2 No",42,"1 Married - spouse in household"
"14745","2 No",19,"7 Never married"
"14746","1 Yes",77,"4 Widowed"
"14747","1 Yes",46,"1 Married - spouse in household"
"14748","1 Yes",62,"1 Married - spouse in household"
"14749","1 Yes",42,"1 Married - spouse in household"
"14750","1 Yes",65,"5 Divorced"
"14751","1 Yes",39,"5 Divorced"
"14752","1 Yes",79,"1 Married - spouse in household"
"14753","1 Yes",60,"1 Married - spouse in household"
"14754","1 Yes",46,"5 Divorced"
"14755","1 Yes",63,"1 Married - spouse in household"
"14756","1 Yes",34,"1 Married - spouse in household"
"14757","1 Yes",41,"1 Married - spouse in household"
"14758","1 Yes",74,"1 Married - spouse in household"
"14759","1 Yes",82,"4 Widowed"
"14760","1 Yes",29,"7 Never married"
"14761","1 Yes",36,"7 Never married"
"14762","1 Yes",24,"7 Never married"
"14763","1 Yes",52,"5 Divorced"
"14764","2 No",63,"4 Widowed"
"14765","1 Yes",48,"1 Married - spouse in household"
"14766","1 Yes",76,"4 Widowed"
"14767","1 Yes",77,"4 Widowed"
"14768","1 Yes",40,"1 Married - spouse in household"
"14769","1 Yes",48,"8 Living with partner"
"14770","1 Yes",64,"1 Married - spouse in household"
"14771","1 Yes",52,"8 Living with partner"
"14772","1 Yes",73,"4 Widowed"
"14773","1 Yes",31,"1 Married - spouse in household"
"14774","1 Yes",19,"7 Never married"
"14775","1 Yes",32,"1 Married - spouse in household"
"14776","2 No",23,"7 Never married"
"14777","1 Yes",54,"1 Married - spouse in household"
"14778","1 Yes",71,"1 Married - spouse in household"
"14779","1 Yes",35,"5 Divorced"
"14780","1 Yes",32,"1 Married - spouse in household"
"14781","2 No",34,"7 Never married"
"14782","1 Yes",74,"4 Widowed"
"14783","2 No",85,"4 Widowed"
"14784","1 Yes",31,"5 Divorced"
"14785","1 Yes",30,"8 Living with partner"
"14786","1 Yes",85,"7 Never married"
"14787","1 Yes",26,"7 Never married"
"14788","1 Yes",24,"8 Living with partner"
"14789","1 Yes",53,"8 Living with partner"
"14790","1 Yes",65,"1 Married - spouse in household"
"14791","2 No",72,"5 Divorced"
"14792","2 No",26,"1 Married - spouse in household"
"14793","1 Yes",21,"7 Never married"
"14794","1 Yes",85,"1 Married - spouse in household"
"14795","1 Yes",21,"1 Married - spouse in household"
"14796","1 Yes",74,"2 Married - spouse not in household"
"14797","1 Yes",45,"2 Married - spouse not in household"
"14798","2 No",40,"7 Never married"
"14799","1 Yes",59,"1 Married - spouse in household"
"14800","1 Yes",34,"8 Living with partner"
"14801","2 No",43,"7 Never married"
"14802","2 No",21,"7 Never married"
"14803","1 Yes",68,"1 Married - spouse in household"
"14804","2 No",70,"4 Widowed"
"14805","1 Yes",25,"1 Married - spouse in household"
"14806","1 Yes",33,"1 Married - spouse in household"
"14807","2 No",21,"8 Living with partner"
"14808","1 Yes",30,"1 Married - spouse in household"
"14809","1 Yes",54,"8 Living with partner"
"14810","1 Yes",20,"7 Never married"
"14811","1 Yes",35,"1 Married - spouse in household"
"14812","1 Yes",69,"1 Married - spouse in household"
"14813","2 No",28,"1 Married - spouse in household"
"14814","1 Yes",69,"1 Married - spouse in household"
"14815","1 Yes",43,"1 Married - spouse in household"
"14816","1 Yes",75,"5 Divorced"
"14817","1 Yes",24,"1 Married - spouse in household"
"14818","1 Yes",53,"1 Married - spouse in household"
"14819","1 Yes",40,"1 Married - spouse in household"
"14820","1 Yes",46,"1 Married - spouse in household"
"14821","1 Yes",55,"7 Never married"
"14822","1 Yes",30,"6 Separated"
"14823","1 Yes",34,"7 Never married"
"14824","1 Yes",53,"7 Never married"
"14825","2 No",19,"7 Never married"
"14826","1 Yes",83,"4 Widowed"
"14827","2 No",24,"7 Never married"
"14828","1 Yes",63,"5 Divorced"
"14829","1 Yes",54,"1 Married - spouse in household"
"14830","1 Yes",38,"5 Divorced"
"14831","1 Yes",22,"7 Never married"
"14832","2 No",37,"1 Married - spouse in household"
"14833","1 Yes",67,"1 Married - spouse in household"
"14834","1 Yes",33,"7 Never married"
"14835","1 Yes",25,"7 Never married"
"14836","1 Yes",50,"1 Married - spouse in household"
"14837","1 Yes",25,"1 Married - spouse in household"
"14838","1 Yes",67,"5 Divorced"
"14839","1 Yes",58,"5 Divorced"
"14840","1 Yes",79,"5 Divorced"
"14841","1 Yes",62,"7 Never married"
"14842","1 Yes",63,"4 Widowed"
"14843","1 Yes",65,"4 Widowed"
"14844","1 Yes",72,"7 Never married"
"14845","1 Yes",21,"8 Living with partner"
"14846","1 Yes",64,"5 Divorced"
"14847","1 Yes",79,"4 Widowed"
"14848","1 Yes",77,"5 Divorced"
"14849","1 Yes",68,"2 Married - spouse not in household"
"14850","1 Yes",31,"1 Married - spouse in household"
"14851","1 Yes",23,"1 Married - spouse in household"
"14852","1 Yes",29,"8 Living with partner"
"14853","1 Yes",20,"1 Married - spouse in household"
"14854","2 No",18,"7 Never married"
"14855","1 Yes",85,"4 Widowed"
"14856","1 Yes",75,"1 Married - spouse in household"
"14857","2 No",18,"7 Never married"
"14858","2 No",80,"4 Widowed"
"14859","1 Yes",59,"7 Never married"
"14860","1 Yes",63,"5 Divorced"
"14861","1 Yes",71,"1 Married - spouse in household"
"14862","1 Yes",39,"7 Never married"
"14863","1 Yes",25,"7 Never married"
"14864","1 Yes",61,"1 Married - spouse in household"
"14865","1 Yes",36,"1 Married - spouse in household"
"14866","1 Yes",76,"1 Married - spouse in household"
"14867","1 Yes",58,"7 Never married"
"14868","2 No",31,"1 Married - spouse in household"
"14869","1 Yes",78,"1 Married - spouse in household"
"14870","1 Yes",57,"5 Divorced"
"14871","1 Yes",51,"4 Widowed"
"14872","1 Yes",64,"1 Married - spouse in household"
"14873","2 No",58,"5 Divorced"
"14874","1 Yes",40,"1 Married - spouse in household"
"14875","1 Yes",67,"4 Widowed"
"14876","2 No",19,"7 Never married"
"14877","1 Yes",63,"5 Divorced"
"14878","1 Yes",40,"8 Living with partner"
"14879","2 No",38,"7 Never married"
"14880","2 No",25,"7 Never married"
"14881","1 Yes",22,"7 Never married"
"14882","1 Yes",69,"1 Married - spouse in household"
"14883","1 Yes",51,"7 Never married"
"14884","1 Yes",46,"1 Married - spouse in household"
"14885","1 Yes",58,"1 Married - spouse in household"
"14886","2 No",50,"1 Married - spouse in household"
"14887","1 Yes",72,"4 Widowed"
"14888","2 No",62,"7 Never married"
"14889","1 Yes",69,"1 Married - spouse in household"
"14890","2 No",31,"1 Married - spouse in household"
"14891","1 Yes",30,"6 Separated"
"14892","1 Yes",52,"1 Married - spouse in household"
"14893","1 Yes",27,"1 Married - spouse in household"
"14894","1 Yes",22,"7 Never married"
"14895","1 Yes",32,"6 Separated"
"14896","1 Yes",70,"6 Separated"
"14897","1 Yes",64,"1 Married - spouse in household"
"14898","1 Yes",40,"1 Married - spouse in household"
"14899","1 Yes",54,"1 Married - spouse in household"
"14900","1 Yes",23,"7 Never married"
"14901","1 Yes",76,"5 Divorced"
"14902","1 Yes",71,"1 Married - spouse in household"
"14903","2 No",46,"4 Widowed"
"14904","2 No",83,"4 Widowed"
"14905","1 Yes",69,"5 Divorced"
"14906","1 Yes",80,"4 Widowed"
"14907","1 Yes",22,"8 Living with partner"
"14908","1 Yes",77,"4 Widowed"
"14909","2 No",51,"1 Married - spouse in household"
"14910","1 Yes",18,"8 Living with partner"
"14911","1 Yes",30,"7 Never married"
"14912","2 No",36,"6 Separated"
"14913","1 Yes",34,"1 Married - spouse in household"
"14914","1 Yes",72,"4 Widowed"
"14915","1 Yes",35,"5 Divorced"
"14916","1 Yes",38,"6 Separated"
"14917","1 Yes",52,"8 Living with partner"
"14918","1 Yes",56,"1 Married - spouse in household"
"14919","1 Yes",28,"7 Never married"
"14920","1 Yes",82,"5 Divorced"
"14921","1 Yes",85,"1 Married - spouse in household"
"14922","1 Yes",35,"1 Married - spouse in household"
"14923","1 Yes",31,"5 Divorced"
"14924","1 Yes",36,"1 Married - spouse in household"
"14925","1 Yes",20,"7 Never married"
"14926","1 Yes",75,"1 Married - spouse in household"
"14927","1 Yes",68,"1 Married - spouse in household"
"14928","1 Yes",39,"5 Divorced"
"14929","1 Yes",60,"2 Married - spouse not in household"
"14930","1 Yes",57,"5 Divorced"
"14931","1 Yes",32,"4 Widowed"
"14932","1 Yes",69,"5 Divorced"
"14933","1 Yes",29,"1 Married - spouse in household"
"14934","1 Yes",25,"7 Never married"
"14935","1 Yes",25,"7 Never married"
"14936","2 No",74,"7 Never married"
"14937","1 Yes",74,"4 Widowed"
"14938","1 Yes",57,"1 Married - spouse in household"
"14939","1 Yes",83,"4 Widowed"
"14940","1 Yes",35,"7 Never married"
"14941","2 No",63,"1 Married - spouse in household"
"14942","1 Yes",39,"7 Never married"
"14943","1 Yes",32,"1 Married - spouse in household"
"14944","1 Yes",63,"7 Never married"
"14945","2 No",26,"7 Never married"
"14946","1 Yes",56,"6 Separated"
"14947","1 Yes",41,"6 Separated"
"14948","2 No",26,"1 Married - spouse in household"
"14949","1 Yes",46,"5 Divorced"
"14950","1 Yes",64,"1 Married - spouse in household"
"14951","1 Yes",36,"7 Never married"
"14952","1 Yes",61,"4 Widowed"
"14953","1 Yes",59,"1 Married - spouse in household"
"14954","1 Yes",62,"4 Widowed"
"14955","2 No",25,"8 Living with partner"
"14956","1 Yes",85,"1 Married - spouse in household"
"14957","1 Yes",29,"7 Never married"
"14958","1 Yes",21,"7 Never married"
"14959","1 Yes",22,"7 Never married"
"14960","1 Yes",60,"1 Married - spouse in household"
"14961","1 Yes",63,"5 Divorced"
"14962","1 Yes",79,"5 Divorced"
"14963","1 Yes",38,"7 Never married"
"14964","1 Yes",58,"4 Widowed"
"14965","1 Yes",79,"4 Widowed"
"14966","1 Yes",71,"7 Never married"
"14967","1 Yes",77,"1 Married - spouse in household"
"14968","1 Yes",54,"5 Divorced"
"14969","1 Yes",51,"1 Married - spouse in household"
"14970","1 Yes",36,"5 Divorced"
"14971","1 Yes",67,"1 Married - spouse in household"
"14972","1 Yes",48,"5 Divorced"
"14973","2 No",25,"8 Living with partner"
"14974","1 Yes",46,"6 Separated"
"14975","1 Yes",63,"5 Divorced"
"14976","1 Yes",62,"5 Divorced"
"14977","1 Yes",33,"5 Divorced"
"14978","1 Yes",72,"5 Divorced"
"14979","1 Yes",60,"1 Married - spouse in household"
"14980","1 Yes",78,"1 Married - spouse in household"
"14981","1 Yes",50,"1 Married - spouse in household"
"14982","1 Yes",37,"2 Married - spouse not in household"
"14983","1 Yes",27,"7 Never married"
"14984","1 Yes",24,"1 Married - spouse in household"
"14985","1 Yes",71,"5 Divorced"
"14986","1 Yes",64,"5 Divorced"
"14987","1 Yes",52,"8 Living with partner"
"14988","1 Yes",61,"7 Never married"
"14989","1 Yes",59,"5 Divorced"
"14990","2 No",20,"7 Never married"
"14991","1 Yes",38,"7 Never married"
"14992","1 Yes",74,"1 Married - spouse in household"
"14993","1 Yes",57,"1 Married - spouse in household"
"14994","1 Yes",40,"1 Married - spouse in household"
"14995","1 Yes",63,"1 Married - spouse in household"
"14996","2 No",24,"1 Married - spouse in household"
"14997","1 Yes",38,"5 Divorced"
"14998","1 Yes",27,"7 Never married"
"14999","1 Yes",58,"5 Divorced"
"15000","1 Yes",53,"9 Unknown marital status"
"15001","1 Yes",70,"4 Widowed"
"15002","1 Yes",34,"5 Divorced"
"15003","1 Yes",41,"1 Married - spouse in household"
"15004","1 Yes",52,"1 Married - spouse in household"
"15005","1 Yes",35,"1 Married - spouse in household"
"15006","1 Yes",24,"8 Living with partner"
"15007","2 No",44,"6 Separated"
"15008","1 Yes",27,"7 Never married"
"15009","1 Yes",64,"5 Divorced"
"15010","2 No",62,"1 Married - spouse in household"
"15011","1 Yes",31,"6 Separated"
"15012","1 Yes",32,"1 Married - spouse in household"
"15013","1 Yes",25,"7 Never married"
"15014","2 No",22,"7 Never married"
"15015","1 Yes",65,"1 Married - spouse in household"
"15016","1 Yes",68,"1 Married - spouse in household"
"15017","2 No",25,"7 Never married"
"15018","2 No",38,"7 Never married"
"15019","1 Yes",27,"7 Never married"
"15020","2 No",51,"1 Married - spouse in household"
"15021","1 Yes",47,"5 Divorced"
"15022","2 No",73,"7 Never married"
"15023","1 Yes",85,"4 Widowed"
"15024","2 No",53,"1 Married - spouse in household"
"15025","1 Yes",25,"7 Never married"
"15026","1 Yes",55,"1 Married - spouse in household"
"15027","2 No",29,"1 Married - spouse in household"
"15028","1 Yes",57,"1 Married - spouse in household"
"15029","1 Yes",53,"1 Married - spouse in household"
"15030","1 Yes",38,"1 Married - spouse in household"
"15031","1 Yes",47,"5 Divorced"
"15032","1 Yes",76,"5 Divorced"
"15033","2 No",39,"1 Married - spouse in household"
"15034","1 Yes",18,"7 Never married"
"15035","1 Yes",59,"1 Married - spouse in household"
"15036","2 No",45,"1 Married - spouse in household"
"15037","1 Yes",50,"5 Divorced"
"15038","1 Yes",64,"5 Divorced"
"15039","2 No",35,"1 Married - spouse in household"
"15040","1 Yes",25,"1 Married - spouse in household"
"15041","1 Yes",20,"7 Never married"
"15042","1 Yes",22,"7 Never married"
"15043","1 Yes",49,"5 Divorced"
"15044","1 Yes",60,"7 Never married"
"15045","1 Yes",57,"5 Divorced"
"15046","1 Yes",81,"4 Widowed"
"15047","1 Yes",46,"5 Divorced"
"15048","1 Yes",82,"1 Married - spouse in household"
"15049","2 No",27,"1 Married - spouse in household"
"15050","1 Yes",60,"1 Married - spouse in household"
"15051","1 Yes",59,"5 Divorced"
"15052","1 Yes",27,"1 Married - spouse in household"
"15053","2 No",38,"1 Married - spouse in household"
"15054","2 No",28,"7 Never married"
"15055","1 Yes",62,"1 Married - spouse in household"
"15056","1 Yes",25,"7 Never married"
"15057","1 Yes",42,"8 Living with partner"
"15058","1 Yes",71,"4 Widowed"
"15059","1 Yes",55,"4 Widowed"
"15060","1 Yes",59,"7 Never married"
"15061","1 Yes",72,"1 Married - spouse in household"
"15062","1 Yes",65,"4 Widowed"
"15063","2 No",57,"1 Married - spouse in household"
"15064","1 Yes",46,"5 Divorced"
"15065","1 Yes",67,"8 Living with partner"
"15066","1 Yes",29,"7 Never married"
"15067","2 No",25,"7 Never married"
"15068","1 Yes",54,"1 Married - spouse in household"
"15069","1 Yes",63,"5 Divorced"
"15070","1 Yes",71,"7 Never married"
"15071","1 Yes",40,"1 Married - spouse in household"
"15072","2 No",40,"1 Married - spouse in household"
"15073","1 Yes",60,"5 Divorced"
"15074","1 Yes",47,"4 Widowed"
"15075","1 Yes",46,"5 Divorced"
"15076","1 Yes",66,"4 Widowed"
"15077","1 Yes",49,"1 Married - spouse in household"
"15078","1 Yes",43,"7 Never married"
"15079","1 Yes",40,"1 Married - spouse in household"
"15080","1 Yes",36,"1 Married - spouse in household"
"15081","1 Yes",27,"7 Never married"
"15082","1 Yes",36,"5 Divorced"
"15083","2 No",53,"1 Married - spouse in household"
"15084","1 Yes",33,"7 Never married"
"15085","1 Yes",42,"1 Married - spouse in household"
"15086","1 Yes",68,"8 Living with partner"
"15087","1 Yes",82,"1 Married - spouse in household"
"15088","1 Yes",20,"7 Never married"
"15089","1 Yes",41,"1 Married - spouse in household"
"15090","1 Yes",54,"1 Married - spouse in household"
"15091","2 No",85,"4 Widowed"
"15092","1 Yes",21,"7 Never married"
"15093","1 Yes",39,"7 Never married"
"15094","2 No",31,"1 Married - spouse in household"
"15095","1 Yes",41,"7 Never married"
"15096","1 Yes",55,"1 Married - spouse in household"
"15097","1 Yes",46,"1 Married - spouse in household"
"15098","1 Yes",21,"7 Never married"
"15099","2 No",20,"7 Never married"
"15100","2 No",20,"7 Never married"
"15101","1 Yes",21,"7 Never married"
"15102","1 Yes",21,"7 Never married"
"15103","1 Yes",25,"7 Never married"
"15104","1 Yes",58,"1 Married - spouse in household"
"15105","1 Yes",49,"1 Married - spouse in household"
"15106","2 No",23,"7 Never married"
"15107","1 Yes",64,"1 Married - spouse in household"
"15108","1 Yes",65,"1 Married - spouse in household"
"15109","1 Yes",32,"8 Living with partner"
"15110","1 Yes",57,"5 Divorced"
"15111","1 Yes",72,"1 Married - spouse in household"
"15112","1 Yes",59,"1 Married - spouse in household"
"15113","2 No",31,"7 Never married"
"15114","1 Yes",38,"1 Married - spouse in household"
"15115","1 Yes",58,"5 Divorced"
"15116","1 Yes",65,"5 Divorced"
"15117","1 Yes",43,"5 Divorced"
"15118","1 Yes",47,"1 Married - spouse in household"
"15119","1 Yes",25,"7 Never married"
"15120","1 Yes",42,"1 Married - spouse in household"
"15121","1 Yes",49,"6 Separated"
"15122","1 Yes",51,"5 Divorced"
"15123","1 Yes",38,"1 Married - spouse in household"
"15124","2 No",18,"7 Never married"
"15125","2 No",23,"7 Never married"
"15126","1 Yes",26,"7 Never married"
"15127","1 Yes",55,"1 Married - spouse in household"
"15128","1 Yes",77,"1 Married - spouse in household"
"15129","1 Yes",61,"1 Married - spouse in household"
"15130","1 Yes",39,"1 Married - spouse in household"
"15131","1 Yes",27,"7 Never married"
"15132","1 Yes",33,"1 Married - spouse in household"
"15133","1 Yes",51,"5 Divorced"
"15134","1 Yes",50,"8 Living with partner"
"15135","1 Yes",38,"1 Married - spouse in household"
"15136","1 Yes",46,"5 Divorced"
"15137","1 Yes",20,"7 Never married"
"15138","1 Yes",42,"1 Married - spouse in household"
"15139","1 Yes",62,"1 Married - spouse in household"
"15140","2 No",51,"1 Married - spouse in household"
"15141","1 Yes",70,"1 Married - spouse in household"
"15142","1 Yes",21,"7 Never married"
"15143","2 No",43,"1 Married - spouse in household"
"15144","1 Yes",85,"4 Widowed"
"15145","1 Yes",67,"5 Divorced"
"15146","1 Yes",49,"7 Never married"
"15147","1 Yes",33,"6 Separated"
"15148","1 Yes",26,"6 Separated"
"15149","1 Yes",34,"6 Separated"
"15150","2 No",29,"7 Never married"
"15151","1 Yes",84,"7 Never married"
"15152","1 Yes",47,"1 Married - spouse in household"
"15153","1 Yes",26,"8 Living with partner"
"15154","1 Yes",61,"8 Living with partner"
"15155","1 Yes",80,"4 Widowed"
"15156","1 Yes",56,"1 Married - spouse in household"
"15157","2 No",18,"7 Never married"
"15158","2 No",48,"1 Married - spouse in household"
"15159","1 Yes",26,"1 Married - spouse in household"
"15160","1 Yes",35,"1 Married - spouse in household"
"15161","1 Yes",29,"7 Never married"
"15162","2 No",41,"1 Married - spouse in household"
"15163","1 Yes",34,"5 Divorced"
"15164","1 Yes",36,"7 Never married"
"15165","1 Yes",72,"4 Widowed"
"15166","1 Yes",28,"7 Never married"
"15167","1 Yes",61,"5 Divorced"
"15168","1 Yes",55,"1 Married - spouse in household"
"15169","1 Yes",85,"4 Widowed"
"15170","1 Yes",57,"1 Married - spouse in household"
"15171","1 Yes",39,"8 Living with partner"
"15172","1 Yes",77,"4 Widowed"
"15173","1 Yes",44,"7 Never married"
"15174","1 Yes",65,"1 Married - spouse in household"
"15175","1 Yes",58,"1 Married - spouse in household"
"15176","1 Yes",38,"1 Married - spouse in household"
"15177","2 No",39,"6 Separated"
"15178","1 Yes",74,"1 Married - spouse in household"
"15179","1 Yes",42,"7 Never married"
"15180","1 Yes",85,"4 Widowed"
"15181","1 Yes",46,"1 Married - spouse in household"
"15182","2 No",61,"1 Married - spouse in household"
"15183","1 Yes",80,"1 Married - spouse in household"
"15184","1 Yes",83,"1 Married - spouse in household"
"15185","1 Yes",38,"7 Never married"
"15186","1 Yes",53,"5 Divorced"
"15187","1 Yes",50,"1 Married - spouse in household"
"15188","2 No",32,"1 Married - spouse in household"
"15189","1 Yes",49,"1 Married - spouse in household"
"15190","1 Yes",63,"1 Married - spouse in household"
"15191","1 Yes",85,"4 Widowed"
"15192","1 Yes",66,"1 Married - spouse in household"
"15193","1 Yes",85,"4 Widowed"
"15194","1 Yes",82,"4 Widowed"
"15195","2 No",29,"1 Married - spouse in household"
"15196","2 No",69,"4 Widowed"
"15197","1 Yes",85,"4 Widowed"
"15198","1 Yes",60,"1 Married - spouse in household"
"15199","2 No",28,"7 Never married"
"15200","1 Yes",62,"5 Divorced"
"15201","2 No",46,"1 Married - spouse in household"
"15202","1 Yes",45,"1 Married - spouse in household"
"15203","1 Yes",77,"4 Widowed"
"15204","1 Yes",24,"6 Separated"
"15205","1 Yes",26,"7 Never married"
"15206","1 Yes",41,"1 Married - spouse in household"
"15207","1 Yes",70,"1 Married - spouse in household"
"15208","1 Yes",26,"8 Living with partner"
"15209","1 Yes",41,"1 Married - spouse in household"
"15210","1 Yes",28,"7 Never married"
"15211","1 Yes",30,"1 Married - spouse in household"
"15212","2 No",63,"1 Married - spouse in household"
"15213","1 Yes",77,"1 Married - spouse in household"
"15214","1 Yes",33,"7 Never married"
"15215","1 Yes",51,"5 Divorced"
"15216","1 Yes",50,"2 Married - spouse not in household"
"15217","1 Yes",25,"1 Married - spouse in household"
"15218","1 Yes",46,"5 Divorced"
"15219","1 Yes",74,"5 Divorced"
"15220","2 No",48,"1 Married - spouse in household"
"15221","1 Yes",52,"7 Never married"
"15222","1 Yes",48,"4 Widowed"
"15223","1 Yes",65,"5 Divorced"
"15224","1 Yes",42,"5 Divorced"
"15225","1 Yes",31,"1 Married - spouse in household"
"15226","7 Refused",42,"1 Married - spouse in household"
"15227","1 Yes",71,"5 Divorced"
"15228","1 Yes",56,"1 Married - spouse in household"
"15229","1 Yes",40,"6 Separated"
"15230","1 Yes",70,"4 Widowed"
"15231","1 Yes",82,"4 Widowed"
"15232","2 No",36,"6 Separated"
"15233","2 No",42,"1 Married - spouse in household"
"15234","1 Yes",34,"8 Living with partner"
"15235","2 No",22,"7 Never married"
"15236","1 Yes",20,"7 Never married"
"15237","1 Yes",35,"1 Married - spouse in household"
"15238","1 Yes",42,"1 Married - spouse in household"
"15239","1 Yes",48,"1 Married - spouse in household"
"15240","1 Yes",78,"1 Married - spouse in household"
"15241","1 Yes",51,"1 Married - spouse in household"
"15242","1 Yes",85,"1 Married - spouse in household"
"15243","1 Yes",60,"1 Married - spouse in household"
"15244","1 Yes",22,"1 Married - spouse in household"
"15245","1 Yes",39,"7 Never married"
"15246","1 Yes",30,"1 Married - spouse in household"
"15247","1 Yes",66,"7 Never married"
"15248","1 Yes",33,"7 Never married"
"15249","1 Yes",79,"4 Widowed"
"15250","1 Yes",32,"7 Never married"
"15251","1 Yes",38,"1 Married - spouse in household"
"15252","2 No",45,"5 Divorced"
"15253","1 Yes",45,"7 Never married"
"15254","1 Yes",31,"1 Married - spouse in household"
"15255","1 Yes",76,"5 Divorced"
"15256","1 Yes",57,"1 Married - spouse in household"
"15257","1 Yes",37,"7 Never married"
"15258","1 Yes",35,"1 Married - spouse in household"
"15259","1 Yes",43,"1 Married - spouse in household"
"15260","1 Yes",48,"1 Married - spouse in household"
"15261","1 Yes",67,"4 Widowed"
"15262","1 Yes",61,"1 Married - spouse in household"
"15263","1 Yes",54,"7 Never married"
"15264","2 No",28,"8 Living with partner"
"15265","1 Yes",41,"1 Married - spouse in household"
"15266","1 Yes",85,"4 Widowed"
"15267","1 Yes",51,"1 Married - spouse in household"
"15268","1 Yes",79,"7 Never married"
"15269","1 Yes",20,"7 Never married"
"15270","1 Yes",64,"4 Widowed"
"15271","1 Yes",77,"1 Married - spouse in household"
"15272","1 Yes",49,"7 Never married"
"15273","1 Yes",26,"7 Never married"
"15274","1 Yes",32,"7 Never married"
"15275","1 Yes",32,"4 Widowed"
"15276","1 Yes",53,"5 Divorced"
"15277","2 No",23,"1 Married - spouse in household"
"15278","1 Yes",60,"5 Divorced"
"15279","1 Yes",44,"1 Married - spouse in household"
"15280","1 Yes",59,"5 Divorced"
"15281","1 Yes",37,"5 Divorced"
"15282","1 Yes",45,"1 Married - spouse in household"
"15283","1 Yes",74,"4 Widowed"
"15284","1 Yes",34,"1 Married - spouse in household"
"15285","1 Yes",66,"1 Married - spouse in household"
"15286","1 Yes",42,"1 Married - spouse in household"
"15287","2 No",25,"7 Never married"
"15288","1 Yes",53,"6 Separated"
"15289","1 Yes",48,"7 Never married"
"15290","1 Yes",26,"1 Married - spouse in household"
"15291","2 No",59,"1 Married - spouse in household"
"15292","1 Yes",40,"5 Divorced"
"15293","1 Yes",77,"1 Married - spouse in household"
"15294","1 Yes",50,"1 Married - spouse in household"
"15295","1 Yes",33,"1 Married - spouse in household"
"15296","1 Yes",42,"1 Married - spouse in household"
